,modelname,hyperparameter,optimized,accuracy_cv,std_cv
0,GaussianNB,"{'priors': None, 'var_smoothing': 1e-09}",False,0.5166666666666666,0.08579691784155832
1,SVC,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",False,0.5583333333333333,0.033333333333333354
2,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",False,0.6083333333333334,0.05651941652604391
3,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",False,0.5833333333333334,0.06972166887783965
4,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",False,0.4916666666666667,0.10671873729054748
5,LogisticRegression,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",False,0.625,0.10206207261596575
6,GaussianNB,{'var_smoothing': 0.3511191734215131},True,0.5333333333333332,
7,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",True,0.575,
8,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 8}",True,0.6416666666666668,
9,SVC,"{'C': 11, 'gamma': 0.01}",True,0.6166666666666667,
10,RandomForestClassifier,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",True,0.6083333333333334,
